clean_comment,usyk_sentiment,fury_sentiment
one thing we can say for sure is usyk isnt afraid of fury not shaken in the least and will fight him unaffected by too much respect and level of star that fury is you could see how whyte viewed fury by the way he fought him usyk wont make that mistake [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
usyk didnt move much in the daniel duquitter fight because the ring wa soaking wet you could easily hear itsqueak squeak [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
fury is unlikely to get through ngannou anyway i wouldnt spend too much time thinking about usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
fury struggle against southpaw around cm smaller than him im backing usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
usyk got done by dubois it an easy win for fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
when it come to skill usyk is mile ahead in every way so fury gameplan ha to be to charge in there and ko him could go either way but fury fan thinking that it would be easy is the dumbest thing ive heard fury fan are some of the dumbest people in existence [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
my idea is that fury ha actually been in camp for usyk the whole time francis realistically is a poor man wilder and pose no real threat to fury and he may only be fighting francis to make usyk think he not prepared for undisputed when in fact he is [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
usyk will have ben rothwell a his main sparring partner a very similar guy to fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
i also agree that even in the early round usyk didnt look a sharp a he did in the aj fight hope it just a question of his preparation and that he can correct it for the fury fight [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,neutral
fury is expected to win and it would be a good win for him sure but i mean if usyk did pull of the upset with everything he accomplished at cruiser becoming undisputed in two weight class thats some serious spice [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,positive
usyk destroys fury over round [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
im an usyk fan always want him to win but aside from whatever i think of fury when it time to fight i never bet against him doesnt mean id bet on usyk to lose but anyone thinking fury would get schooled or battered maybe hasnt understood the animal he is [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,positive
usyk will finally put an end to this utter circus that is luke fury usyk dance round him fury get frustrated and get dq in the very late round to use that a an excuse [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
whats the betting on fury getting injured against francis and cant do usyk it would stop usyk getting in anymore fight before mid way through next year [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
a a proud brit i hope usyk beat fury twice he the biggest conman the game ha seen [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
i hope usyk get the win so sick of fury and all the bull [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
most likely this is fury retirement fund fight not that he need it but a you pointed out unks he love a pound note anyway fk it im puttin on a usyk point decision [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
true geordie back usyk to win personally i think could happen but there is a high chance of fury sparking usyk out with body shot [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
i reckon fury by onesided decision but if usyk doe it then he in the goat discussion [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
given fury history of deception and cowardice it no surprise that many dont believe this fight will happen and expect fury to find a way to wriggle out of it and blame usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
i really want this fight to happen and it being signed it a step in the right direction still so much could go wrong and we cant trust fury until he actually show intent guess we will know more after his upcoming fight usyk win if the fight happens [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
if this happens im all in on usyk usyk all the way there no way fury will win zero chance [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
usyk is really good though tyson hasnt had anyone like him before [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
alot of fury hating loser gon na be on suicide watch when he fold usyk lil incel racist loser [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
i watched a few fight of usyk and he doe get hit more then we like to think when talking about him the big question is can he breach the distance of fury long jab without getting caught or getting cuddled and leand on [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,neutral
fury already showing sign of pulling out by once again down talking usyk a a boxer that wa the first stage of his last pull out with him this fight will not happen and when it doesnt fury should be stripped of all his belt [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
if we got usykfury and ajwilder on the same card theyd have charged u for the ppv no matter what if usyk win i want him to defend the undisputed against wilder before retiring and if fury win i want him to defend against aj before he go back to fighting bum and mma guy [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
usyk will beat fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
fury to usyk on december rd beat a bodybuilder well i aint no bodybuilder sucka [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
i want usyk to beat greedy belly lol [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
fury and usyk took just month to make an undisputed aj and wilder couldnt get it done in year while both being champion [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
tyson fury ha single handedly made all the matchroom casuals disappearits a shame they wont be accountable for all the abuse theyve dished out in the last month who the real coward now fury will destroy usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
this is the second video where fury fan boy have said he ha shut u up if the fight doe not happen with usyk boy [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
have you ever consider that usyk using dubois match to lured fury into agreeing the fight just a he did with chisora to lured joshua i think it is a fantastic chess game may the best man win [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
cant say a damned thing unless he loses such a hater fury will squash usyk usyk ha zero chance to win nowhere to run in that ring it incredible that we all may be witnessing the greatest heavyweight fighter ever and his own countryman wont get behind him pathetic [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
this guy is still bitter from that interview lmao fury beat usyk comfortably [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
when youre searching for fury usyk boxing news and this big faaaat geordie doughnut face come up a recommended [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
why can blame fury he delayed negotiation and gained leverage a team usyk watched him make other deal they caved and he ha in the bag who can blame him and then what when he slap usyk around the ring youll all say what he the best thats it [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
look like fury ha successfully adopted the wwe heel role he knew he could never out good guy usyk so fury took the villain vacancy im loving all these fury hater booing and hissing at the punch and judy show [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,positive
wilder starch aj lol fury and usyk is a toss up i think tyson win and i have no idea why he ducking a way smaller man if he so easy take his belt and the money [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
how come nobody else is suggesting the reason fury had agreed to fight usyk is because he wa called out by big bang zhang maybe he fear the big man too [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
yk wen he say that usyk dominates the scorecard and fury fight are close how tf cn he explain tge fact that he lost on a split to joshua and fury fucking knocked out the most powerful puncher in boxing fury will gas usyk out n knock him out u just dont like fury cuz he called you a tosser [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
it not inconceivable futy throw the ngannu fight so they rematch for double the money whikst he get a ffree dodge from usyk bear in mind this isnt wnd official boxing match fury win financially whatever happens [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
doe anyone think that fury ha accepted to fight usyk just to keep him tied up and he will find way to delay and delay then fight usyk month later [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
usyk ha played a blinder he made himself look worse against dubois to entice fury but when usyk turn up against fury you wait and see he will be even better than against aj usyk will do absolutely everything to win his will is way above fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
would love to see a fight prediction video between usyk and fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
a much a i cant stand fury he smash usyk all day long [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
tyson will beat usyk hell stick it on him and overwhelm him like chisora did to usyk and almost beat him bearing in mind chisora is a lot smaller than tyson [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
i agree completely furthermore i dont think fury anticipated the negative reaction he received for the usyk fight falling through because people had always given him a pas on his bullshit i think it a combination of the money being huge and being backed into a corner [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
i think they have come out with this news before fury fight ngannou hoping the ngannou fight will get more ppvs and try reclaim some of the fan fury ha lost by messing his fan about not fighting usyk previously [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
minute in and bryan saying fury going to have to knock out usyk to win probably the most casual take youll see in boxing [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
usyk wa robbed video title pending after usyk loses to fury aye bry [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,neutral
i do agree that fury ha been talking a lot of sht lately but people cant really say he only take east fight he had three fight with wilder the hardest hitter on the planet who everybody else wa too scared to fight and a couple of year later he signed to fight usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
he fought wilder time and we are going to act like fury is scared of usyk please [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
the person in boxing i dont bet against is fury klitschko is gon na embarrass him hell never lose the weight he cashing out wilder is ko him within round hell never ko wilder hell never fight usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
king usyk beaten all the cowboy british boxer so far only greedy belly left to defeat not hard at all go usykbest southpaw ever speed prescision mobility beat greedy belly all night may the real king rule for a long tyme keep fighting [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
it like boxing fan would rather not see fury usyk just so they can moan [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
occam razor fury wa overplaying his hand in negotiation with usyk it been obvious this whole time the play worked out and he getting paid hate the game not the player [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
fury ha been winning fight usyk ha been getting kod rolling around on the ground cry while a hundred people cover for him [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
usyk beat aj because aj is stiff he wa never a champ like usyk and fury and wilder it will be a great fight but i have my money on fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,positive
if fury cant clinch he cant win come on usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
it seems to me that it the other fighter that avoided fury not the other way around usyk wont be able to beat fury and he know it [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
true gordie eat humble pie for dissing fury for fighting chisora when he beat usyk say sorry agree that fury is the best of the era [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
bsbsbsbstyson fury will never ever fight usyk it will not happen fury is terrified of usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
no chance usyk is faster than fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
i wont believe this until usyk is laying on the canvas spark out with fury singing american pie to his mr [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
whyte and chisora wa top and fury wa not allowed into america so those two wa the biggest fight domestically also whyte wa a mandatory and he ha had the same amount of fight since which is the same a usyk and only one le than aj because he had one in late december [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
if it go ahead usyk is every fighter who ha caused fury problem rolled into one with a ton of talent on top fury greatest attribute is leaning on and wearing you down usyk never let that happen fury will be out of gas trying to catch him by the ninth usyk on point [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
usyk is probably being more excentric than fury this is very well possible he ha some pure madness inside him [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
usyk would beat fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
the reality is fury ha been backed into a corner with the negative reaction he realised he ha to fight usyk now [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
my early instinct wa to comment fury will flatten this middleweight doser get up there my boy bosh but i would just be in denial one way or another i think usyk is gon na put on a hell of a show [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
the hater are going to hate fury ducking usyk fury v usyk get signed and now it fury been forced to fight usyk lol already saying fury need to fight someone else after usyk to be number lol [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
give it a rest fury ha had everyones pant down he told you he wa coming back to make most money possible thats what he is doing hell beat usyk he also fought wilder time [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
fury v usyk is a very interesting one but a much a i want usyk to win i feel like fury ha got that in his bag and after usyk i think he should go for aj and fight him in uk and call it quits after thats a fairy tail ending to tyson fury legacy [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,positive
usyk is the goat for me i think he outpoints fury fury will try to make it fugly though [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
tyson will still duck usyk his fight with ngannou aint selling sht and this is all just ro try and hype it [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
tyson ha no chance to beat usykhe know that so he will avoid mark my word [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
i hope usyk turn up razor sharp and beat fury twice i hope usyk achieves the impossible and get the ko and im a brit [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
my prediction is fury will pull out from this fight and blame it all on usyk hell then float the idea he want to fight joshua but will shift again and end up fighting wilder for the th time [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,negative
aj duck wilder and fury duck usyk i wont belive any of those fight until they happen [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
fury doesnt care if we believe him or not everybody will tune in to watch his fight with usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
i dont believe fury v usyk happens next tyson fury is the type to pull out of fight he just want to keep himself relevant and hence promote himself with it for future fight v easier opponent i believe it when i see the press conference on fight week [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
usyk will definitely humble fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
mate cant you just be happy that the fight is happening lol tyson could literary sit on his back foot and jab usyks head off from a distance [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
usyk school fury if they fight mark my word [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
i wont believe theyre fighting until i see them walkout to the ring find it funny how tyson want the fight now that usyk took the bad body shot [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
i never understand people who delusionally think usyk ha better technique than fury usyk ha textbook technique but fury is much beyond textbook he is the fullpackage and ha better technique than uysk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
fury is big thats true big target he ridiculously big target and usyk will take full advantage of it [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
fury will not stand round against usyk usyk will stop an exhausted fury in the later round just to punish for all his trashtalks usyk doesnt like people who talk too much he always stop them by ko [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
shoulda stayed lhw but he ha done great thing from his opponent taking dive is gon na be fun watching the usyk people take a sad night could care le about both but usyk is gon na be in trouble [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,neutral
the sad history of the boxing god dictate that fury will be knocked out by ngannou now that he signed for a huge mega unification bout with usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
usyk is a stylistic nightmare for fury who cant move anything like the way he used to against klitschko etc [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
fury will fake an injury after the upcoming exhibition match because he scared shitless of usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
if steve cunningham gave a young and fitter fury massive problem imagine what usyk will do to a older slower fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
after he beat francis i think fury will postpone the usyk fight from dec to next spring or even summer but he beat them both [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
so basically tyson and usyk wont happen [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
so fury the coward finally agreed to fight usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
heard it all before love tyson but he wont fight usyk this year [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
usyk and his team have said nothing about the fury fight ill believe it when they say it signed and the date until then it just horse manure [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
usyk is so eager to take them belt from fury i dont think it will be a walk in the park for him [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
this is not going to happen tyson fury will avoid usyk at all cost [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
let guess that fury beat francis and then week before the usyk fight he discovers that he injured his finger toe shoulder etc [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
usyk is a master boxer who posse phenomenal footwork and counterpunching skill his work rate intensity will cause the fat gypsy king to start blowing heavily from about rd and may well cause him to suffer a tko by about rd [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
usyk hasnt got a hope of a ko of fury fury will be too big too long too aggressive too rough for usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
i dont know why fury taken so long he going to win it im sure of that too big too strong too long and too rough for usyk and i want usyk to win [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
i dunno why it hasnt happened already a i honestly think fury smoke usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
usyk played the ffans with fury he knew no contract wa ever sent to fury at that point in time [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,neutral
usyk is a good champion but no match for fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
luck alone you do realise usyk is a far superior boxer to fury [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
fury v usyk wont happen [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
all the hater including mike tyson and joe rogan will witness tyson fury walk through both ngannou and usyk ike they were never even in the ring long live the gypsy [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
tyson fan counting usyk out sad [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,neutral
this is the prove that francis v fury is already fixed all about moneyfury will win so can move on and fight usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
all these clown saying tyson wa ducking usyk are now eating humble pie when he take care of business with francis it back to the real business at hand gon na be the year the real champ becomes the undisputed champion of the world [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,positive
ill put it out there now if the bookie are taking bet ill put everything i have on the fight not happening this year i hear frank using the word if fury v usyk not happening this year it just a ploy to raise interest in the ngannou fight [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
ng ha too much power it seems if ng go nuclear he could kick the s of anyone why hasnt jon jones challenged him yet why is fury already signed with usyk fury ha bit off more than he can chew i have to say f a fix in the work disqualification maybe just thinking out loud [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
best promoter in the game frank ha a certain group cry just like gappy teeth lying ukrainian when fury make his paper mache body explode [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
fury will whoop his as he too big for usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
fury doubling down with audacious bullshit saying usyk is a little shit out when it wa fury who shit out with his bollox an yet fury fan boy still cant see through him [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
if usyk beat fury ill quit boxing [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,positive,negative
usyk ducked fury for year a fury knocksout usyk in saudi it happenening everyone so negative fury ko usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
i cant believe how many people are actually believing that fury will fight usyk no chance [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,negative
i think fury is gon na target the belt line or nuke kiev when it come to usyk he shown he cant handle being punched directly in the bean bag and thats something someone with tyson skill is going to be able to exploit [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
ill believe fury v usyk will happen when theyre in the ring but a for who win i think fury will smother usyk and use his height and weight advantage so i dont expect a pretty fight fury will tire him with the plan to stop him in later round [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,negative,positive
got a funny feeling fury v usyk doesnt happen but would love to see it [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
the only professional prediction anyone need on the fury usyk fight is from david haye [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
yr ago fury v aj wa announced for undisputed but then fury ended up fighting wilder for the rematch they used aj name for clout now they doing same with usyk [SEP] is the sentiment in favour or support of Oleksandr Usyk? is the sentiment in favour or support of Tyson Fury?,neutral,neutral
